kldb_id,beruf_name,kldb_prefix2
71402,Kaufmann/-frau - Büromanagement,71
62102,Warengruppenleiter/in,62
71393,Product Owner,71
54101,Helfer/in - Reinigung,54
81302,Pflegefachmann/-frau (Gesundheits- und Krankenpflege),81
51312,Fachlagerist/in,51
51311,"Helfer/in - Lagerwirtschaft, Transport",51
43414,Fintech-Entwickler/in,43
72213,Fachassistent/in Digitalisierung und IT-Prozesse,72
61124,Digital-Sales-Manager/in,61
63301,Servicekraft - Gastronomie und Gastgewerbe,63
43153,Infotainment-Entwickler/in,43
92113,Service-Designer/in,92
82102,Pflegefachmann/-frau (Altenpflege),82
52122,Tankwagenfahrer/in,52
43224,CRM-Consultant,43
26212,Elektroniker/in - Gebäude- und Infrastruktursysteme,26
25212,Fachkraft - innovative Fahrzeugaufbereitung,25
61123,Technical-Account-Manager/in,61
24232,Fachkraft für Metalltechnik - Zerspanungstechnik,24
25102,Industriemechaniker/in,25
62101,Helfer/in - Verkauf,62
52531,Gabelstaplerfahrer/in,52
71324,Gründerscout,71
29302,Fachkraft - Küche,29
71401,Schalterauskunft,71
84304,Studiengangkoordinator/in,84
61122,Mediengestalter/in Digital und Print - Beratung und Planung,61
43343,Identity-/Access-Manager/in,43
27104,Leiter/in - Forschungsgruppe,27
26252,Starkstromelektriker/in,26
63221,Empfangsmitarbeiter/in (Hotel),63
83113,Waldorferzieher/in,83
83124,Psychosoziale/r Prozessbegleiter/in,83
62194,Verkaufsleiter/in im Lebensmittelhandwerk,62
71523,Jobcoach,71
92133,Key-Account-Manager/in,92
84223,Aus- und Weiterbildungspädagoge/-pädagogin,84
43323,IT-Service-Delivery-Manager/in,43
34212,Leckageorter/in,34
61113,IT-Einkäufer/in,61
25122,Maschinen- und Anlagenführer/in (o. Angabe des Schwerpunkts),25
43384,Cyber-Security-Consultant,43
24422,MIG-Schweißer/in,24
43394,Chief-Information-Security-Officer,43
82101,Pflegeassistent/in (Altenpflege),82
62232,Fachverkäufer/in - Geschenkartikel,62
71524,Arbeitsmarktorientierte/r Berater/in,71
51624,Betriebswirt/in (Hochschule) - Logistik,51
27212,Technische/r Systemplaner/in - Stahl- und Metallbautechnik,27
81404,Weiterbildungsassistent/in (Arzt/Ärztin),81
43102,Assistent/in - Informatik (allgemeine Informatik),43
26312,Glasfasermonteur/in,26
22342,Holzmechaniker/in-Herstellen v. Möbeln u. Innenausbauteilen,22
29301,Helfer/in - Küche,29
81102,Patientenmanager/in,81
52182,Requisitenfahrer/in,52
92122,Service-Chat-Agent/in,92
51622,Kaufmann/-frau - Spedition und Logistikdienstleistung,51
84183,Lernbetreuer/in,84
24412,Vorarbeiter/in - Metallbau,24
24202,Vorarbeiter/in - Metallbearbeitung,24
43104,Data Engineer,43
92413,Video-Journalist/in,92
27304,Product-Lifecycle-Manager/in,27
83131,Schulbegleiter/in,83
72234,Callcentercontroller/in,72
31104,Ingenieur/in - Konstruktiver Ingenieurbau,31
33212,Maler/in und Lackierer/in - Ausbautech. u. Oberflächengest.,33
72132,Kaufmann/-frau - Versicherungen und Finanzanlagen,72
73202,Beamt(er/in) - Kommunalverwaltung (mittl. Dienst),73
71514,Leiter/in - betriebliche Aus- und Weiterbildung,71
43114,Business-Intelligence-Consultant,43
71394,Chief-Product-Officer,71
71302,Industriekaufmann/-frau,71
72113,Berater/in - Immobilienfinanzierung,72
92112,Kaufmann/-frau - Marketingkommunikation,92
72302,Gehilf(e/in) - wirtschafts- und steuerberatende Berufe,72
62272,Automobil-Serviceberater/in,62
81313,Fachkrankenpfleger/in - Intermediate Care,81
43223,Cloud-Consultant,43
26113,Fachkraft - Mechatronik,26
71403,Fachwirt/in - Büro- und Projektorganisation,71
71314,Change-Manager/in,71
61112,Assistent/in - Beschaffungswesen,61
63222,Hausdamenassistent/in,63
31194,"Leiter/in - Projektentwicklung (Immobilien, Bau)",31
71512,Personalsachbearbeiter/in,71
72112,Kassierer/in (Banken),72
26112,Industrietechnologe/-technologin - Mechatronische Systeme,26
51322,Postjungbot(e/in),51
43353,Datenbankentwickler/in,43
34102,Techn. Assistent/in - Gebäudetechnik,34
26122,Elektroniker/in - Automatisierungs- und Systemtechnik,26
63302,Fachkraft - Gastronomie (Restaurantservice),63
43413,Frontend-Entwickler/in,43
81713,Chiropraktiker/in,81
27394,Leiter/in - Process Engineering,27
26304,Elektrotechniksachverständige/r,26
34201,"Helfer/in - Klempnerei, Installation",34
31114,Ingenieur/in - Architektur,31
27223,Konstruktionstechniker/in,27
