competency_id,competency_code,competency_name,competency_type,avg_growth_Berlin,avg_growth_Brandenburg,avg_growth_Dahme-Spreewald,avg_growth_Deutschland,avg_growth_Oder-Spree,avg_growth_Teltow-Fläming,demand_score_Berlin,demand_score_Brandenburg,demand_score_Dahme-Spreewald,demand_score_Deutschland,demand_score_Oder-Spree,demand_score_Teltow-Fläming,total_jobs_Berlin,total_jobs_Brandenburg,total_jobs_Dahme-Spreewald,total_jobs_Deutschland,total_jobs_Oder-Spree,total_jobs_Teltow-Fläming,demand_score_TH_Wildau
62271,K 030203-014,"Kundenberatung, -betreuung",E,-0.06329503114130028,0.40913569365857044,0.2128252775586755,0.17458085642803858,0.35996589810830615,0.8241472886487766,100.0,100.0,100.0,100.0,100.0,100.0,1071966.0,418711.0,29076.0,17580893.0,21207.0,42232.0,100.0
62252,K 030202-001,Kalkulation,E,-0.026959753956754227,0.32716628118924995,0.21505502665955353,0.10454851653775711,0.2709738982072308,0.610609636745477,68.9,63.0,64.9,65.2,62.4,66.8,738885.0,263691.0,18875.0,11458949.0,13227.0,28229.0,64.7
62234,K 030201-017,Kosten- und Leistungsrechnung,E,-0.05950437831818571,0.3044756102078589,0.15388806770850022,0.11858206092359774,0.2658727913403111,0.6082875226217086,56.4,51.8,52.5,53.6,50.5,55.6,604632.0,216817.0,15271.0,9414817.0,10702.0,23492.0,52.9
60647,K 010200-003,Arbeitsvorbereitung,E,0.022811114008171107,0.38542414092263855,0.22559910882924503,0.1875003694999888,0.2932667073856776,0.5605595395488708,25.0,44.0,41.9,37.4,49.9,51.1,267935.0,184216.0,12186.0,6568118.0,10591.0,21590.0,47.6
62272,K 030203-015,Marketing,E,-0.1446591973697118,0.2552752173355191,0.10068544418032982,0.014637812941068914,0.2257557256598283,0.7971166780446669,54.4,43.8,45.9,46.5,42.1,42.3,583049.0,183410.0,13356.0,8182654.0,8921.0,17875.0,43.4
60762,K 010203-009,"Qualitätsprüfung, Qualitätssicherung",E,0.01978337633489216,0.30892784049314836,0.2187955311620424,0.18120479366353118,0.2701355278846828,0.4907207086844874,20.7,38.5,37.7,32.6,44.8,43.9,221887.0,161374.0,10975.0,5733881.0,9494.0,18557.0,42.1
60761,K 010203-008,Qualitätsmanagement,E,-0.0881276998980555,0.3108705152066327,0.08689017915848248,-0.012888552504485968,0.10560069148170911,2.1840046483402658,39.1,41.1,35.0,37.9,39.6,43.6,419439.0,172113.0,10170.0,6655205.0,8406.0,18434.0,39.4
62220,K 030201-003,"Buchführung, Buchhaltung",E,-0.12144090351608715,0.23392870253857742,0.09142433695782971,0.023042698781023687,0.23585012152555926,0.6529456163752193,37.6,37.2,38.7,38.0,36.9,37.1,403113.0,155865.0,11263.0,6679356.0,7827.0,15661.0,37.6
62288,K 030204-003,Controlling,E,-0.14588239431185843,0.17020114172975934,0.08338577570492013,-0.010838326762542996,0.2631819958181577,0.781467800281755,42.4,35.8,36.4,39.1,35.1,38.6,454224.0,149774.0,10574.0,6881763.0,7454.0,16300.0,36.7
62216,K 030200-002,"Einkauf, Beschaffung",E,-0.04734661785597054,0.24746083881911243,0.03666064110844182,0.07971108579488774,0.33476638478203075,0.6375388346531332,24.1,32.8,36.0,29.3,33.8,34.4,257913.0,137244.0,10460.0,5157170.0,7161.0,14525.0,34.7
62217,K 030201-000,Abrechnung,E,-0.01696513980847279,0.28631787816430426,0.12266400058359823,0.1440345605990069,0.4395558503890272,0.8554772497659814,21.3,32.6,34.7,26.8,36.1,29.7,227837.0,136620.0,10099.0,4710668.0,7665.0,12541.0,33.5
60798,K 010205-003,"Wartung, Reparatur, Instandhaltung",E,0.08194592900270883,0.2955150211215309,0.27151361726942885,0.16773810967473068,0.29036691786711183,0.5029088166891245,14.4,29.6,30.1,24.2,34.1,35.2,154733.0,123952.0,8742.0,4246448.0,7234.0,14870.0,33.1
64043,K 0802-003,Betriebswirtschaftslehre,E,-0.1494692551130658,0.24017122811684938,0.06747604600369636,-0.01281210019748811,0.2819824387590744,0.6573012609981311,39.0,30.2,29.7,33.9,30.4,33.0,417762.0,126521.0,8629.0,5951323.0,6438.0,13925.0,31.0
62671,K 0400-033,Lagerwirtschaft,E,-0.08578317753637804,0.08038064329159514,0.006103321480864923,0.05759476396862622,0.48861969823117496,0.3244285427153834,11.1,26.2,32.0,21.5,27.2,32.8,119106.0,109618.0,9300.0,3779908.0,5759.0,13859.0,30.7
62278,K 030203-021,Verkauf,E,0.0036370722943920306,0.4982455684483433,0.18124536865827662,0.3200978394070695,0.7521774209617277,0.9507615612517131,13.1,28.9,31.6,23.1,31.1,27.0,140763.0,120959.0,9179.0,4060606.0,6589.0,11408.0,29.9
62637,K 030502-022,Werbung,E,-0.10378624909097073,0.20600122755196745,0.014159342681123259,0.02186285132520319,0.13190333027867857,0.7637883636078464,26.9,29.1,31.9,27.1,29.0,26.9,288105.0,121707.0,9275.0,4762741.0,6149.0,11379.0,29.3
62303,K 030205-010,Personalwesen,E,-0.12075744933643281,0.19824244219811454,-0.012490702819101671,0.005588740127650498,0.20888133759772837,0.524070265597107,29.0,27.7,27.8,28.1,28.0,28.1,311275.0,116034.0,8096.0,4941334.0,5930.0,11866.0,28.0
62696,K 0400-059,"Warenannahme, Wareneingangskontrolle",E,-0.060179013286016436,-2.6157125242062354e-05,-0.09204976779431262,0.05103562763043711,0.5625791274740387,0.3408707081114118,9.8,24.4,29.0,19.3,25.1,29.1,105024.0,102012.0,8426.0,3392377.0,5332.0,12310.0,27.7
62279,K 030203-022,Verkaufsförderung,E,-0.09442284551014579,0.19687284569358185,-0.009261721783042543,0.016169391627381357,0.4098012817507696,0.8290418157003339,24.3,27.0,29.6,25.0,27.4,24.5,260067.0,113084.0,8618.0,4387669.0,5817.0,10347.0,27.2
60796,K 010205-001,Kundendienst,E,-0.042307482375649644,0.25966588785181216,0.2183293158505156,0.0013772073464148236,0.14837870587818933,0.737280330018442,11.8,22.7,21.6,18.4,26.4,26.5,126095.0,95090.0,6270.0,3230557.0,5599.0,11183.0,24.8
62313,K 030206-007,Büro- und Verwaltungsarbeiten,E,-0.06664318126312581,0.14026171175810262,0.11070165156223084,0.060019504406156145,0.12411736998391204,0.7980407446026875,23.4,25.2,25.1,23.6,25.0,23.6,250672.0,105639.0,7289.0,4153897.0,5298.0,9971.0,24.6
